Entity,Code,Year,Deaths - Sex: all - Age: 100+ - Variant: estimates,Deaths - Sex: all - Age: 90-99 - Variant: estimates,Deaths - Sex: all - Age: 80-89 - Variant: estimates,Deaths - Sex: all - Age: 70-79 - Variant: estimates,Deaths - Sex: all - Age: 60-69 - Variant: estimates,Deaths - Sex: all - Age: 50-59 - Variant: estimates,Deaths - Sex: all - Age: 40-49 - Variant: estimates,Deaths - Sex: all - Age: 30-39 - Variant: estimates,Deaths - Sex: all - Age: 20-29 - Variant: estimates,Deaths - Sex: all - Age: 10-19 - Variant: estimates,Deaths - Sex: all - Age: 0-9 - Variant: estimates
Asia (UN),,1989,7239,370748,2602916,4273253,3742692,2393615,1394983,1173698,1185920,889172,8869546
Asia (UN),,1990,7804,398213,2711654,4364876,3821241,2412259,1418318,1188571,1209032,878260,8718643
Asia (UN),,1991,8093.0005,415844,2776593,4417879,3867578,2416645,1439242,1191966,1218603,868199,8399368
Asia (UN),,1992,8313,449356,2848750,4473367,3911433,2405797,1454089,1186782,1212730,828468,7979144
Asia (UN),,1993,8516,483586,2925246,4532743,3965695,2399368,1488305,1199490,1200323,813343,7695134
Asia (UN),,1994,8855,518292,3017916,4611626,4028638,2399387,1536900,1223530,1199682,806387,7430306
Asia (UN),,1995,9639,552955,3103970,4685126,4073677,2398490,1587974,1243371,1196699,806081,7208373
Asia (UN),,1996,10597,578486,3169908,4753354,4114045,2387870,1629066,1256714,1186380,802549,6927235
Asia (UN),,1997,12569,614076,3262535,4848315,4162906,2388322,1669413,1268071,1177141,803001,6655167
Asia (UN),,1998,14704,651096,3355104,4962617,4203320,2397851,1709280,1281650,1165005,802809,6388778
Asia (UN),,1999,17232,699214,3471558,5095136,4240285,2425396,1738893,1305318,1151204,803216,6127591
Asia (UN),,2000,19322,732374,3569347,5204333,4257000,2451805,1753417,1323459,1131397,794492,5893372
Asia (UN),,2001,21768,768739,3684518,5316115,4269580,2486774,1762959,1343854,1115549,790957,5641282
Asia (UN),,2002,24351,808764,3813264,5439848,4279964,2534370,1771796,1347629,1095052,775975,5379493
Asia (UN),,2003,27135,860698,3958954,5578527,4276196,2597491,1792978,1339636,1084529,765202,5098984
Asia (UN),,2004,29451,914256,4116022,5726062,4294319,2692481,1840756,1352563,1095569,776403,4915411
Asia (UN),,2005,32125,973898,4286094,5848262,4279282,2761070,1839033,1316919,1066845,743765,4641078
Asia (UN),,2006,34265,1023159,4443442,5973012,4285761,2838354,1853247,1299163,1056419,715263,4402713
Asia (UN),,2007,36780,1069239,4605162,6082531,4296356,2909264,1860718,1279767,1045954,693362,4203901
Asia (UN),,2008,39486,1123534,4806987,6212951,4358311,3015191,1901557,1280231,1051816,697456,4083151
Asia (UN),,2009,41876,1168535,4956204,6263997,4399250,3050487,1905308,1231182,1018433,649556,3861182
Asia (UN),,2010,45234,1238800,5122066,6313573,4467718,3092963,1932988,1204839,1001887,624785,3679526
Asia (UN),,2011,48047,1312516,5306423,6398314,4581506,3143853,1974472,1185658,989199,603045,3505116
Asia (UN),,2012,51151,1381810,5451616,6429714,4696888,3186903,1996163,1172027,980524,584834,3361000
Asia (UN),,2013,54195,1453256,5616204,6455821,4850144,3252588,1990907,1152483,960310,564615,3188836
Asia (UN),,2014,57826,1534947,5776099,6478625,5022635,3318310,1973777,1132604,934671,542525,3006912
Asia (UN),,2015,62026,1629997,5942544,6513476,5212284,3376113,1961693,1124696,922123,527632,2857914
Asia (UN),,2016,66515,1723354,6112193,6571393,5401676,3430988,1945190,1115647,900435,506281,2714863
Asia (UN),,2017,71930,1828407,6330255,6708750,5625537,3489351,1935447,1108467,876862,488123,2559502
Asia (UN),,2018,77997,1914287,6427666,6776455,5750497,3509937,1898556,1096933,845690,468547,2426426
Asia (UN),,2019,86149,2014641,6571620,6950089,5880263,3568436,1867018,1086078,810110,448721,2296419
Asia (UN),,2020,98692,2225777,7047713,7626802,6552707,3949219,1949799,1070417,755905,418255,2158868
Asia (UN),,2021,112662,2479956,7740182,8795090,7540261,4742562,2324056,1283626,820552,412151,2053811
Asia (UN),,2022,107291,2348427,7120380,7732385,6192898,3838949,1839572,1067941,729566,407741,1964767
Asia (UN),,2023,108038,2459406,7371102,8122788,6299160,3834123,1805014,1054780,712075,401247,1897287
Australia,AUS,1950,24,2084,14050,19649,16617,9409,4638,2367,1841,963,6310
Australia,AUS,1951,30,2366,14388,20519,17409,9832,4716,2574,1989,1028,6612
Australia,AUS,1952,33,2331,14221,20372,17797,9777,4859,2535,1882,951,6548
Australia,AUS,1953,35,2391,13919,20598,17243,9440,4668,2355,1729,968,6468
Australia,AUS,1954,37,2570,14216,21711,17406,9354,4780,2395,1664,948,6187
Australia,AUS,1955,41,2612,14217,21759,17784,9206,4751,2298,1523,996,6213
Australia,AUS,1956,44,2799,15517,23358,18159,9423,4853,2368,1605,938,6095
Australia,AUS,1957,47,2777,14410,23092,18014,9504,4887,2518,1607,1056,6305
Australia,AUS,1958,49,2792,14279,22973,17549,9547,4886,2386,1558,998,5977
Australia,AUS,1959,58,3118,15304,24957,18178,10102,5132,2586,1446,1070,6328
Australia,AUS,1960,61,3203,15357,24555,18177,10020,5159,2416,1449,1107,6052
Australia,AUS,1961,62,3100,15674,25110,17869,9991,5095,2413,1501,1115,6104.9995
Australia,AUS,1962,70,3241,16804,26535,18251,10635,5324,2428,1556,1084,6127
Australia,AUS,1963,75,3289,17069,27026,18824,10997,5452,2429,1584,1172,5886
Australia,AUS,1964,78,3472,18723,28886,19652,11747,5708,2523,1643,1303,5672
Australia,AUS,1965,80,3443,18652,28435,19660,11972,5675,2513,1790,1413,5442
Australia,AUS,1966,94,3760,20045,29673,20532,12312,5636,2513,1833,1433,5371
Australia,AUS,1967,87,3557,19568,28813,20453,12513,5991,2226,1919,1314,5412
Australia,AUS,1968,99,4086,21914,29992,21531,12743,6015,2387,2037,1534,5635
Australia,AUS,1969,93,3749,20557,29037,21679,12603,6154,2297,2048,1453,5919
Australia,AUS,1970,101,4203,22524,30482,22626,13095,6183,2464,2288,1601,6144
Australia,AUS,1971,107,4362,22358,29094,21412,12553,5958,2307,2361,1696,6250
Australia,AUS,1972,113,4529,22529,29244,22180,12797,6021,2282,2245,1604,5860
Australia,AUS,1973,115,4511,23044,29061,22436,12620,6012,2267,2298,1647,5376
Australia,AUS,1974,134,5219,24477,30079,23412,13234,5998,2389,2394,1711,5230
Australia,AUS,1975,119,4703,22601,28398,22531,12664,5643,2458,2377,1688,4495
Australia,AUS,1976,145,5490,24122,30113,22996,12746,5456,2383,2308,1652,4200
