,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
60638,31055,Chlo Dygert (-Owen),F,19.0,176.0,66.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,Silver
60736,31103,Rumyana Dimitrova Dzhadzharova-Neykova,F,31.0,177.0,77.0,Bulgaria,BUL,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Single Sculls,Bronze
60737,31103,Rumyana Dimitrova Dzhadzharova-Neykova,F,35.0,177.0,77.0,Bulgaria,BUL,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Single Sculls,Gold
60776,31127,Yuliya Valentynivna Dzhyma,F,23.0,166.0,66.0,Ukraine,UKR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold
60824,31153,Mirza Domba,M,27.0,190.0,86.0,Croatia,CRO,2004 Summer,2004,Summer,Athina,Handball,Handball Men's Handball,Gold
60913,31205,Ashton James Eaton,M,24.0,186.0,81.0,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,Gold
60914,31205,Ashton James Eaton,M,28.0,186.0,81.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,Gold
60931,31216,Yukiko Ebata,F,22.0,176.0,70.0,Japan,JPN,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Bronze
60942,31224,Eskild Balschmidt Ebbesen,M,32.0,185.0,75.0,Denmark,DEN,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
60943,31224,Eskild Balschmidt Ebbesen,M,36.0,185.0,75.0,Denmark,DEN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
60944,31224,Eskild Balschmidt Ebbesen,M,40.0,185.0,75.0,Denmark,DEN,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
60966,31236,Stephan Eberharter,M,32.0,180.0,85.0,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Downhill,Bronze
60967,31236,Stephan Eberharter,M,32.0,180.0,85.0,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Super G,Silver
60968,31236,Stephan Eberharter,M,32.0,180.0,85.0,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Gold
61016,31259,Thomas Ebert,M,31.0,184.0,72.0,Denmark,DEN,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
61017,31259,Thomas Ebert,M,35.0,184.0,72.0,Denmark,DEN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
61031,31270,Masashi Ebinuma,M,22.0,170.0,66.0,Japan,JPN,2012 Summer,2012,Summer,London,Judo,Judo Men's Half-Lightweight,Bronze
61032,31270,Masashi Ebinuma,M,26.0,170.0,66.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Lightweight,Bronze
61058,31279,Luzia Ebnther,F,30.0,164.0,69.0,Switzerland,SUI,2002 Winter,2002,Winter,Salt Lake City,Curling,Curling Women's Curling,Silver
61087,31296,Fernando Echavarri Erasum,M,35.0,180.0,76.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed Multihull,Gold
61093,31301,Tmara Echegoyen Domnguez,F,28.0,174.0,70.0,Spain,ESP,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Three Person Keelboat,Gold
61139,31326,Torsten Eckbrett,M,24.0,188.0,81.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
61181,31342,Tiril Kampenhaug Eckhoff,F,23.0,163.0,59.0,Norway,NOR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Gold
