Entity,Code,Year,Population (historical)
Africa,,2019,1348002902
Africa,,2020,1380818597
Africa,,2021,1413750475
Africa,,2022,1446880936
Africa,,2023,1480767898
Asia,,1700,387156235
Asia,,1710,399833174
Asia,,1720,421380818
Asia,,1730,435102909
Asia,,1740,457265382
Asia,,1750,498937067
Asia,,1760,524257046
Asia,,1770,554028046
Asia,,1780,616358292
Asia,,1785,626330148
Asia,,1788,636302004
Asia,,1790,646273860
Asia,,1800,683181540
Asia,,1801,685331004
Asia,,1802,687499996
Asia,,1803,689688487
Asia,,1804,691896457
Asia,,1805,694123893
Asia,,1806,696370781
Asia,,1807,698637130
Asia,,1808,700922938
Asia,,1809,703228216
Asia,,1810,706697247
Asia,,1811,710184970
Asia,,1812,714101589
Asia,,1813,718452410
Asia,,1814,722875649
Asia,,1815,727371867
Asia,,1816,731941628
Asia,,1817,736585517
Asia,,1818,741304115
Asia,,1819,745877888
Asia,,1820,750302436
Asia,,1821,754333381
Asia,,1822,758182933
Asia,,1823,762351061
Asia,,1824,766551242
Asia,,1825,770783722
Asia,,1826,775048757
Asia,,1827,779346599
Asia,,1828,783677502
Asia,,1829,787519369
Asia,,1830,790868367
Asia,,1831,793720630
Asia,,1832,796067340
Asia,,1833,797904515
Asia,,1834,799750516
Asia,,1835,801605412
Asia,,1836,803463258
Asia,,1837,805330136
Asia,,1838,807206121
Asia,,1839,809029646
Asia,,1840,810809627
Asia,,1841,812540636
Asia,,1842,814222743
Asia,,1843,815855997
Asia,,1844,817502099
Asia,,1845,819161198
Asia,,1846,820833452
Asia,,1847,822519006
Asia,,1848,824218038
Asia,,1849,825222462
Asia,,1850,825539753
Asia,,1851,824919179
Asia,,1852,823625614
Asia,,1853,821666826
Asia,,1854,819758194
Asia,,1855,817899693
Asia,,1856,816091289
Asia,,1857,814332986
Asia,,1858,812624772
Asia,,1859,811269628
Asia,,1860,810264188
Asia,,1861,809610216
Asia,,1862,809307266
Asia,,1863,809347406
Asia,,1864,809420661
Asia,,1865,809519559
Asia,,1866,809642614
Asia,,1867,809796645
Asia,,1868,809979613
Asia,,1869,810619596
Asia,,1870,811727086
Asia,,1871,813281475
Asia,,1872,815307566
Asia,,1873,817774457
Asia,,1874,820245876
Asia,,1875,822748807
Asia,,1876,825262338
Asia,,1877,827756319
Asia,,1878,830246401
Asia,,1879,833177921
Asia,,1880,836588561
Asia,,1881,840498338
Asia,,1882,844908026
Asia,,1883,849808775
Asia,,1884,854759869
Asia,,1885,859815828
Asia,,1886,864895539
Asia,,1887,870044849
Asia,,1888,875235619
Asia,,1889,880253270
Asia,,1890,885113714
Asia,,1891,889769283
Asia,,1892,894234392
Asia,,1893,898513802
Asia,,1894,902847416
Asia,,1895,907247338
Asia,,1896,911649066
Asia,,1897,916108835
Asia,,1898,920604531
Asia,,1899,925586618
Asia,,1900,931021418
Asia,,1901,936902660
Asia,,1902,943255046
Asia,,1903,950069951
Asia,,1904,956950596
Asia,,1905,963899803
Asia,,1906,970921559
Asia,,1907,978034978
Asia,,1908,985241824
Asia,,1909,992474216
Asia,,1910,999734197
Asia,,1911,1006983059
Asia,,1912,1014336227
Asia,,1913,1021733426
Asia,,1914,1029237086
Asia,,1915,1036849812
Asia,,1916,1044516276
Asia,,1917,1052212325
Asia,,1918,1060455454
Asia,,1919,1068676253
Asia,,1920,1076882587
Asia,,1921,1084965328
Asia,,1922,1092913940
Asia,,1923,1100750146
Asia,,1924,1108723191
Asia,,1925,1116816909
Asia,,1926,1125041494
Asia,,1927,1133396748
Asia,,1928,1141888360
Asia,,1929,1151215839
Asia,,1930,1161422369
Asia,,1931,1172523816
Asia,,1932,1184512344
Asia,,1933,1197356574
Asia,,1934,1210362883
Asia,,1935,1223537795
Asia,,1936,1236977246
Asia,,1937,1250648056
Asia,,1938,1264656203
Asia,,1939,1277274161
Asia,,1940,1288504299
Asia,,1941,1298273754
Asia,,1942,1306646035
Asia,,1943,1313426812
Asia,,1944,1319919228
Asia,,1945,1326525640
Asia,,1946,1333534070
Asia,,1947,1341255459
Asia,,1948,1349532393
Asia,,1949,1362069852
Asia,,1950,1367579481
Asia,,1951,1394307782
Asia,,1952,1423930209
Asia,,1953,1455631927
Asia,,1954,1488416246
Asia,,1955,1523144009
Asia,,1956,1558260420
Asia,,1957,1594672848
Asia,,1958,1631864404
Asia,,1959,1664695099
Asia,,1960,1691760355
Asia,,1961,1718154145
Asia,,1962,1753316513
Asia,,1963,1799302795
Asia,,1964,1847439318
Asia,,1965,1894027719
Asia,,1966,1940183973
Asia,,1967,1986305781
Asia,,1968,2034767285
Asia,,1969,2085426245
Asia,,1970,2136909351
Asia,,1971,2187670404
Asia,,1972,2237823261
Asia,,1973,2288850167
Asia,,1974,2339395711
Asia,,1975,2388508394
Asia,,1976,2436465079
Asia,,1977,2484226760
Asia,,1978,2531835271
Asia,,1979,2580753175
Asia,,1980,2631641160
Asia,,1981,2683996730
Asia,,1982,2738667123
Asia,,1983,2794054656
Asia,,1984,2849477520
Asia,,1985,2906230245
Asia,,1986,2964895798
Asia,,1987,3025639326
Asia,,1988,3086640461
Asia,,1989,3147691342
Asia,,1990,3209092004
Asia,,1991,3268205168
Asia,,1992,3324809895
Asia,,1993,3380037536
Asia,,1994,3433677775
Asia,,1995,3486815483
Asia,,1996,3539847378
Asia,,1997,3592365502
Asia,,1998,3644339290
Asia,,1999,3695618072
Asia,,2000,3746830370
Asia,,2001,3797951672
Asia,,2002,3847357208
Asia,,2003,3895797033
Asia,,2004,3944375963
Asia,,2005,3992888145
Asia,,2006,4041768964
Asia,,2007,4090561916
Asia,,2008,4139265006
Asia,,2009,4188826983
Asia,,2010,4238692440
Asia,,2011,4288347510
Asia,,2012,4338441067
Asia,,2013,4387754932
Asia,,2014,4435742151
Asia,,2015,4482085971
Asia,,2016,4527175741
Asia,,2017,4571222239
Asia,,2018,4612350382
Asia,,2019,4651096247
Asia,,2020,4686808823
Asia,,2021,4716996761
Asia,,2022,4746327240
Asia,,2023,4776657166
Europe,,1700,116961318
Europe,,1710,126227127
Europe,,1720,133486417
Europe,,1730,140970145
Europe,,1740,148508951
Europe,,1750,156132376
Europe,,1760,163885196
Europe,,1770,171739629
Europe,,1780,180122175
Europe,,1785,183089685
Europe,,1788,186057195
Europe,,1790,189024706
Europe,,1800,195246412
Europe,,1801,196163900
Europe,,1802,197091497
Europe,,1803,198029334
Europe,,1804,198977552
Europe,,1805,199936284
Europe,,1806,200905670
Europe,,1807,201885860
Europe,,1808,202876988
Europe,,1809,203879207
Europe,,1810,205293947
Europe,,1811,206739416
Europe,,1812,208363539
Europe,,1813,210176321
Europe,,1814,212061105
Europe,,1815,214020938
Europe,,1816,216059046
Europe,,1817,218178819
Europe,,1818,220383835
Europe,,1819,222539181
Europe,,1820,224634727
Europe,,1821,226663527
Europe,,1822,228610291
Europe,,1823,230462809
Europe,,1824,232346815
Europe,,1825,234266293
Europe,,1826,236266180
Europe,,1827,238299355
Europe,,1828,240366164
Europe,,1829,242421103
Europe,,1830,244463639
Europe,,1831,246452668
Europe,,1832,248413659
Europe,,1833,250345894
Europe,,1834,252294504
Europe,,1835,254259615
Europe,,1836,256241393
Europe,,1837,258239981
Europe,,1838,260255525
Europe,,1839,262182831
Europe,,1840,264021791
Europe,,1841,265776353
Europe,,1842,267442356
Europe,,1843,269019650
Europe,,1844,270613408
Europe,,1845,272223692
Europe,,1846,273850560
Europe,,1847,275494070
Europe,,1848,277154281
Europe,,1849,278843936
Europe,,1850,280563123
Europe,,1851,282296901
Europe,,1852,284060391
Europe,,1853,285853697
Europe,,1854,287664281
Europe,,1855,289492256
Europe,,1856,291337723
Europe,,1857,293200796
Europe,,1858,295081592
Europe,,1859,297016561
Europe,,1860,299005933
Europe,,1861,301044275
Europe,,1862,303137439
Europe,,1863,305285679
Europe,,1864,307452910
Europe,,1865,309639297
Europe,,1866,311845024
Europe,,1867,314070242
Europe,,1868,316315151
Europe,,1869,318617559
Europe,,1870,320978504
Europe,,1871,323347844
Europe,,1872,325833595
Europe,,1873,328381148
Europe,,1874,330953918
Europe,,1875,333552176
Europe,,1876,336176188
Europe,,1877,338826233
Europe,,1878,341502585
Europe,,1879,344193817
Europe,,1880,346899930
Europe,,1881,349618756
Europe,,1882,352352439
Europe,,1883,355100972
Europe,,1884,357876147
Europe,,1885,360678219
Europe,,1886,363507464
Europe,,1887,366364148
Europe,,1888,369248536
Europe,,1889,372179949
Europe,,1890,375159100
Europe,,1891,378195519
Europe,,1892,381281269
Europe,,1893,384417101
Europe,,1894,387584592
Europe,,1895,390784080
Europe,,1896,394015918
Europe,,1897,397280451
Europe,,1898,400578035
Europe,,1899,403943104
Europe,,1900,407376581
Europe,,1901,410884944
Europe,,1902,414462143
Europe,,1903,418110139
Europe,,1904,421795821
Europe,,1905,425519625
Europe,,1906,429280995
Europe,,1907,433083366
Europe,,1908,436924195
Europe,,1909,440229912
Europe,,1910,442998776
Europe,,1911,445190609
Europe,,1912,446861810
Europe,,1913,447992368
Europe,,1914,449146427
Europe,,1915,450266971
Europe,,1916,451345993
Europe,,1917,452420495
Europe,,1918,453501533
Europe,,1919,455052925
Europe,,1920,457174132
Europe,,1921,459698667
Europe,,1922,462748999
Europe,,1923,466215672
Europe,,1924,469720614
Europe,,1925,473281009
Europe,,1926,476866051
Europe,,1927,480474970
Europe,,1928,484127985
Europe,,1929,487757246
Europe,,1930,491365214
Europe,,1931,494952391
Europe,,1932,498506228
Europe,,1933,502023207
Europe,,1934,505565941
Europe,,1935,509132741
Europe,,1936,512724928
Europe,,1937,516345815
Europe,,1938,519971731
Europe,,1939,523558353
Europe,,1940,526690243
Europe,,1941,529457945
Europe,,1942,531902854
Europe,,1943,534125345
Europe,,1944,536476418
Europe,,1945,538373127
Europe,,1946,539551539
Europe,,1947,541177731
Europe,,1948,543661151
Europe,,1949,546600540
Europe,,1950,549359235
Europe,,1951,554333714
Europe,,1952,559296560
Europe,,1953,564658338
Europe,,1954,570267241
Europe,,1955,575975280
Europe,,1956,581697253
Europe,,1957,587738254
Europe,,1958,594180987
Europe,,1959,600392592
Europe,,1960,606401607
Europe,,1961,612455301
Europe,,1962,618415113
Europe,,1963,624197986
Europe,,1964,629765325
Europe,,1965,635028481
Europe,,1966,640034516
Europe,,1967,644730259
Europe,,1968,649246919
Europe,,1969,653777956
Europe,,1970,657643893
Europe,,1971,661608186
Europe,,1972,666180344
Europe,,1973,670463521
Europe,,1974,674402561
Europe,,1975,677936927
Europe,,1976,681316809
Europe,,1977,684764927
Europe,,1978,688103870
Europe,,1979,691421380
Europe,,1980,694959584
Europe,,1981,698280385
Europe,,1982,701145839
Europe,,1983,703983661
Europe,,1984,706827763
Europe,,1985,709669444
Europe,,1986,712733597
Europe,,1987,715920968
Europe,,1988,719139364
Europe,,1989,722199665
Europe,,1990,724925603
Europe,,1991,727280270
Europe,,1992,728424954
Europe,,1993,728829773
Europe,,1994,729727081
Europe,,1995,730241109
Europe,,1996,730247869
Europe,,1997,730320478
Europe,,1998,729776439
Europe,,1999,729146734
Europe,,2000,729109655
Europe,,2001,729199706
Europe,,2002,730105763
Europe,,2003,731373663
Europe,,2004,732261851
Europe,,2005,733080477
Europe,,2006,733736291
Europe,,2007,734966832
Europe,,2008,736638240
Europe,,2009,738042833
Europe,,2010,739270911
Europe,,2011,740503438
Europe,,2012,741622002
Europe,,2013,742652445
Europe,,2014,743840250
Europe,,2015,745454319
Europe,,2016,747237913
Europe,,2017,748681274
Europe,,2018,749833314
Europe,,2019,750788539
Europe,,2020,750824035
Europe,,2021,749928573
Europe,,2022,748293772
Europe,,2023,746945644
North America,,1700,6917912
North America,,1710,7798309
North America,,1720,8700588
North America,,1730,9624252
North America,,1740,10573615
North America,,1750,11553659
North America,,1760,12570693
North America,,1770,13632505
North America,,1780,14762351
North America,,1785,15159910
North America,,1788,15557992
North America,,1790,15956073
North America,,1800,14838476
North America,,1801,15067543
North America,,1802,15302421
North America,,1803,15543291
North America,,1804,15790335
North America,,1805,16043752
North America,,1806,16303758
North America,,1807,16570576
North America,,1808,16844448
North America,,1809,17125635
North America,,1810,17467032
North America,,1811,17807026
North America,,1812,18170503
North America,,1813,18557830
North America,,1814,18955663
North America,,1815,19364317
North America,,1816,19784121
North America,,1817,20215408
North America,,1818,20658526
North America,,1819,21090322
North America,,1820,21510792
North America,,1821,21914472
North America,,1822,22306791
North America,,1823,22690256
North America,,1824,23085940
North America,,1825,23494234
North America,,1826,23915551
North America,,1827,24350313
North America,,1828,24798968
North America,,1829,25266493
North America,,1830,25752839
North America,,1831,26257954
North America,,1832,26781734
North America,,1833,27324097
North America,,1834,27879464
North America,,1835,28450375
North America,,1836,29036018
North America,,1837,29636808
North America,,1838,30253171
North America,,1839,30898192
North America,,1840,31572942
North America,,1841,32282445
North America,,1842,33023934
North America,,1843,33798596
North America,,1844,34594944
North America,,1845,35413719
North America,,1846,36255619
North America,,1847,37121342
North America,,1848,38011630
North America,,1849,38929760
North America,,1850,39876325
North America,,1851,40841887
North America,,1852,41836401
North America,,1853,42860465
North America,,1854,43912160
North America,,1855,44992281
North America,,1856,46101638
North America,,1857,47241071
North America,,1858,48411445
North America,,1859,49534688
North America,,1860,50608530
North America,,1861,51632173
North America,,1862,52601505
North America,,1863,53514090
North America,,1864,54446117
North America,,1865,55398018
North America,,1866,56370241
North America,,1867,57363246
North America,,1868,58377495
North America,,1869,59427419
North America,,1870,60513653
North America,,1871,61637389
North America,,1872,62798793
North America,,1873,63998469
North America,,1874,65223148
North America,,1875,66473350
North America,,1876,67749620
North America,,1877,69052497
North America,,1878,70382546
North America,,1879,71736784
North America,,1880,73115624
North America,,1881,74519354
North America,,1882,75948520
North America,,1883,77403598
North America,,1884,78888589
North America,,1885,80404144
North America,,1886,81950956
North America,,1887,83529666
North America,,1888,85140963
North America,,1889,86734179
North America,,1890,88308062
North America,,1891,89862718
North America,,1892,91395747
North America,,1893,92905412
North America,,1894,94441593
North America,,1895,96004762
North America,,1896,97595406
North America,,1897,99214014
North America,,1898,100861099
North America,,1899,102568315
North America,,1900,104337410
North America,,1901,106180895
North America,,1902,108089728
North America,,1903,110065959
North America,,1904,112080346
North America,,1905,114133673
North America,,1906,116226723
North America,,1907,118360311
North America,,1908,120535258
North America,,1909,122613498
North America,,1910,124592009
North America,,1911,126465983
North America,,1912,128233714
North America,,1913,129892152
North America,,1914,131576569
North America,,1915,133287404
North America,,1916,135025110
North America,,1917,136790146
North America,,1918,138627638
North America,,1919,140539333
North America,,1920,142526252
North America,,1921,144590126
North America,,1922,146732202
North America,,1923,148952656
North America,,1924,151207691
North America,,1925,153497883
North America,,1926,155823817
North America,,1927,158186100
North America,,1928,160585326
North America,,1929,162832634
North America,,1930,164924377
North America,,1931,166858022
North America,,1932,168628143
North America,,1933,170231305
North America,,1934,171853041
North America,,1935,173493630
North America,,1936,175153352
North America,,1937,176832494
North America,,1938,178531353
North America,,1939,180525231
North America,,1940,182822969
North America,,1941,185448790
North America,,1942,188396325
North America,,1943,191674968
North America,,1944,195019353
North America,,1945,198431090
North America,,1946,201911790
North America,,1947,205463279
North America,,1948,209087124
North America,,1949,212900815
North America,,1950,222817107
North America,,1951,226776037
North America,,1952,230878519
North America,,1953,235112994
North America,,1954,239510269
North America,,1955,244054784
North America,,1956,248741863
North America,,1957,253586942
North America,,1958,258513014
North America,,1959,263667571
North America,,1960,269078139
North America,,1961,274661115
North America,,1962,280342875
North America,,1963,285960655
North America,,1964,291549331
North America,,1965,297054689
North America,,1966,302404313
North America,,1967,307618240
North America,,1968,312719669
North America,,1969,317805593
North America,,1970,323224153
North America,,1971,328859593
North America,,1972,334185876
North America,,1973,339229599
North America,,1974,344224980
North America,,1975,349222634
North America,,1976,354177037
North America,,1977,359150807
North America,,1978,364166624
North America,,1979,369227541
North America,,1980,374394560
North America,,1981,379562481
North America,,1982,384742544
North America,,1983,389993329
North America,,1984,395238170
North America,,1985,400469664
North America,,1986,405667492
North America,,1987,410875476
North America,,1988,416199896
North America,,1989,421641697
North America,,1990,427526016
North America,,1991,433790359
North America,,1992,440058900
North America,,1993,446183607
North America,,1994,452081591
North America,,1995,457856610
North America,,1996,463528279
North America,,1997,469104620
North America,,1998,474675644
North America,,1999,480236701
North America,,2000,485803188
North America,,2001,491430341
North America,,2002,497026321
North America,,2003,502585648
North America,,2004,508164928
North America,,2005,513797027
North America,,2006,519543323
North America,,2007,525493181
North America,,2008,531568098
North America,,2009,537615490
North America,,2010,543591378
North America,,2011,549550466
North America,,2012,555484452
North America,,2013,561343702
North America,,2014,567076721
North America,,2015,572635347
North America,,2016,578184350
North America,,2017,583667388
North America,,2018,589047608
North America,,2019,594344896
North America,,2020,598248690
North America,,2021,600874414
North America,,2022,604354281
North America,,2023,608768595
Oceania,,1700,2018318
Oceania,,1710,2017295
Oceania,,1720,2027232
Oceania,,1730,2037817
Oceania,,1740,2049132
Oceania,,1750,2061276
Oceania,,1760,2074366
Oceania,,1770,2088722
Oceania,,1780,2104602
Oceania,,1785,2110613
Oceania,,1788,2116624
Oceania,,1790,2124461
Oceania,,1800,1620657
Oceania,,1801,1620119
Oceania,,1802,1619949
Oceania,,1803,1620141
Oceania,,1804,1620693
Oceania,,1805,1621599
Oceania,,1806,1622859
Oceania,,1807,1624467
Oceania,,1808,1626422
Oceania,,1809,1628720
Oceania,,1810,1631699
Oceania,,1811,1634699
Oceania,,1812,1638040
Oceania,,1813,1641721
Oceania,,1814,1645736
Oceania,,1815,1650090
Oceania,,1816,1654780
Oceania,,1817,1659805
Oceania,,1818,1665170
Oceania,,1819,1670038
Oceania,,1820,1674349
Oceania,,1821,1678116
Oceania,,1822,1681194
Oceania,,1823,1683517
Oceania,,1824,1685857
Oceania,,1825,1688210
Oceania,,1826,1690581
Oceania,,1827,1692967
Oceania,,1828,1695367
Oceania,,1829,1698772
Oceania,,1830,1703246
Oceania,,1831,1708870
Oceania,,1832,1715692
Oceania,,1833,1723774
Oceania,,1834,1732193
Oceania,,1835,1740951
Oceania,,1836,1750049
Oceania,,1837,1759488
Oceania,,1838,1769272
Oceania,,1839,1781213
Oceania,,1840,1795366
Oceania,,1841,1811821
Oceania,,1842,1830621
Oceania,,1843,1851846
Oceania,,1844,1872950
Oceania,,1845,1894767
Oceania,,1846,1917329
Oceania,,1847,1940659
Oceania,,1848,1964781
Oceania,,1849,1995288
Oceania,,1850,2032857
Oceania,,1851,2078451
Oceania,,1852,2132647
Oceania,,1853,2196326
Oceania,,1854,2264890
Oceania,,1855,2338735
Oceania,,1856,2418277
Oceania,,1857,2503970
Oceania,,1858,2596312
Oceania,,1859,2683199
Oceania,,1860,2763826
Oceania,,1861,2837241
Oceania,,1862,2902542
Oceania,,1863,2958669
Oceania,,1864,3017086
Oceania,,1865,3077912
Oceania,,1866,3141281
Oceania,,1867,3207329
Oceania,,1868,3276206
Oceania,,1869,3343926
Oceania,,1870,3410322
Oceania,,1871,3475242
Oceania,,1872,3538480
Oceania,,1873,3599838
Oceania,,1874,3663234
Oceania,,1875,3728757
Oceania,,1876,3796498
Oceania,,1877,3866560
Oceania,,1878,3939045
Oceania,,1879,4016356
Oceania,,1880,4098641
Oceania,,1881,4186056
Oceania,,1882,4278728
Oceania,,1883,4376801
Oceania,,1884,4478121
Oceania,,1885,4582800
Oceania,,1886,4690949
Oceania,,1887,4802688
Oceania,,1888,4918132
Oceania,,1889,5026624
Oceania,,1890,5127719
Oceania,,1891,5220967
Oceania,,1892,5305869
Oceania,,1893,5381923
Oceania,,1894,5459376
Oceania,,1895,5538256
Oceania,,1896,5618588
Oceania,,1897,5700397
Oceania,,1898,5783717
Oceania,,1899,5868060
Oceania,,1900,5953433
Oceania,,1901,6041327
Oceania,,1902,6130184
Oceania,,1903,6220591
Oceania,,1904,6312597
Oceania,,1905,6406235
Oceania,,1906,6501530
Oceania,,1907,6598488
Oceania,,1908,6697172
Oceania,,1909,6790851
Oceania,,1910,6879951
Oceania,,1911,6964892
Oceania,,1912,7046058
Oceania,,1913,7123860
Oceania,,1914,7205520
Oceania,,1915,7290999
Oceania,,1916,7380277
Oceania,,1917,7473453
Oceania,,1918,7570421
Oceania,,1919,7675449
Oceania,,1920,7788336
Oceania,,1921,7909222
Oceania,,1922,8037563
Oceania,,1923,8173227
Oceania,,1924,8311872
Oceania,,1925,8453536
Oceania,,1926,8598265
Oceania,,1927,8746765
Oceania,,1928,8898418
Oceania,,1929,9040802
Oceania,,1930,9173890
Oceania,,1931,9297495
Oceania,,1932,9411745
Oceania,,1933,9516612
Oceania,,1934,9624531
Oceania,,1935,9735548
Oceania,,1936,9849720
Oceania,,1937,9967434
Oceania,,1938,10088436
Oceania,,1939,10225032
Oceania,,1940,10377586
Oceania,,1941,10550355
Oceania,,1942,10739874
Oceania,,1943,10946545
Oceania,,1944,11158584
Oceania,,1945,11376148
Oceania,,1946,11599321
Oceania,,1947,11829601
Oceania,,1948,12065949
Oceania,,1949,12315056
Oceania,,1950,12581472
Oceania,,1951,12914478
Oceania,,1952,13228367
Oceania,,1953,13526495
Oceania,,1954,13823687
Oceania,,1955,14144525
Oceania,,1956,14483823
Oceania,,1957,14824629
Oceania,,1958,15165229
Oceania,,1959,15509289
Oceania,,1960,15861706
Oceania,,1961,16215883
Oceania,,1962,16559998
Oceania,,1963,16903665
Oceania,,1964,17253718
Oceania,,1965,17616248
Oceania,,1966,17985105
Oceania,,1967,18331263
Oceania,,1968,18669252
Oceania,,1969,19032821
Oceania,,1970,19493249
Oceania,,1971,20035104
Oceania,,1972,20493157
Oceania,,1973,20865213
Oceania,,1974,21227274
Oceania,,1975,21554944
Oceania,,1976,21841496
Oceania,,1977,22113653
Oceania,,1978,22382476
Oceania,,1979,22652735
Oceania,,1980,22953462
Oceania,,1981,23306514
Oceania,,1982,23689680
Oceania,,1983,24063514
Oceania,,1984,24420081
Oceania,,1985,24776633
Oceania,,1986,25148836
Oceania,,1987,25543579
Oceania,,1988,25955438
Oceania,,1989,26375975
Oceania,,1990,26838377
Oceania,,1991,27314307
Oceania,,1992,27745610
Oceania,,1993,28153373
Oceania,,1994,28572046
Oceania,,1995,29024263
Oceania,,1996,29497676
Oceania,,1997,29963633
Oceania,,1998,30419040
